,DATE,CASHD,ATMD,HOLIDAY
588,2016-10-09,0,8642450,1
589,2016-10-10,0,8642450,1
590,2016-10-11,-16981787,2292500,0
591,2016-10-12,-7986981,1450050,0
592,2016-10-13,-5884756,3502100,0
593,2016-10-14,-4539678,4735850,0
594,2016-10-15,0,4735850,1
595,2016-10-16,0,4735850,1
596,2016-10-17,-11434090,2000350,0
597,2016-10-18,-4420763,2329650,0
598,2016-10-19,-5697185,1463900,0
599,2016-10-20,-5354052,3550650,0
600,2016-10-21,-6441205,3648450,0
601,2016-10-22,0,3648450,1
602,2016-10-23,0,3648450,1
603,2016-10-24,-10447553,1286500,0
604,2016-10-25,-3897731,806300,0
605,2016-10-26,-4370122,2100400,0
606,2016-10-27,-3791219,3807650,0
607,2016-10-28,-598000,8577050,0
608,2016-10-29,0,8577050,1
609,2016-10-30,0,8577050,1
610,2016-10-31,-9931645,3549000,0
611,2016-11-01,-4186701,2027550,0
612,2016-11-02,-3636896,4426900,0
613,2016-11-03,-4636733,3565550,0
614,2016-11-04,-4651892,7761850,0
615,2016-11-05,0,7761850,1
616,2016-11-06,0,7761850,1
617,2016-11-07,-10880472,3152550,0
618,2016-11-08,-6058298,2905950,0
619,2016-11-09,-8058840,1870450,0
620,2016-11-10,-7959066,3374000,0
621,2016-11-11,-6545679,3993250,0
622,2016-11-12,0,3993250,1
623,2016-11-13,0,3993250,1
624,2016-11-14,-9135680,2269850,0
625,2016-11-15,-6421858,1211900,0
626,2016-11-16,-5688613,3055850,0
627,2016-11-17,-4959399,2785450,0
628,2016-11-18,-4993248,4603600,0
629,2016-11-19,0,4603600,1
630,2016-11-20,0,4603600,1
631,2016-11-21,-9986722,1762500,0
632,2016-11-22,-3954298,1683950,0
633,2016-11-23,-4472941,950150,0
634,2016-11-24,-4857235,2185050,0
635,2016-11-25,-4272585,3452450,0
636,2016-11-26,0,3452450,1
637,2016-11-27,0,3452450,1
638,2016-11-28,0,3452450,1
639,2016-11-29,-9789781,4365000,0
640,2016-11-30,-3712993,3693450,0
641,2016-12-01,-3182728,7236400,0
642,2016-12-02,-3650160,10108150,0
643,2016-12-03,0,10108150,1
644,2016-12-04,0,10108150,1
645,2016-12-05,-9160955,3134050,0
646,2016-12-06,-5019987,6654100,0
647,2016-12-07,-8583737,12236050,0
648,2016-12-08,0,12236050,1
649,2016-12-09,0,12236050,1
650,2016-12-10,0,12236050,1
651,2016-12-11,0,12236050,1
652,2016-12-12,-22942057,3720400,0
653,2016-12-13,-9148971,2293950,0
654,2016-12-14,-4770131,6514400,0
655,2016-12-15,-6017697,5477650,0
656,2016-12-16,-5370826,9285700,0
657,2016-12-17,0,9285700,1
658,2016-12-18,0,9285700,1
659,2016-12-19,-13535176,3488050,0
660,2016-12-20,-7724988,3510950,0
661,2016-12-21,-6036732,5746050,0
662,2016-12-22,-4355041,4897000,0
663,2016-12-23,-6491705,6619300,0
664,2016-12-24,0,6619300,1
665,2016-12-25,0,6619300,1
666,2016-12-26,-10994976,2012550,0
667,2016-12-27,-4610669,1113600,0
668,2016-12-28,-4653136,4415750,0
669,2016-12-29,-3197132,3952600,0
670,2016-12-30,-3278546,0,0
671,2016-12-31,0,0,1
672,2017-01-01,0,6168650,1
673,2017-01-02,-12182840,3023150,0
674,2017-01-03,-6947190,3001000,0
675,2017-01-04,-4618580,2123050,0
676,2017-01-05,-5692636,5113150,0
677,2017-01-06,-7423552,7477500,0
678,2017-01-07,0,7477500,1
679,2017-01-08,0,7477500,1
680,2017-01-09,-12556122,3115550,0
681,2017-01-10,-9785358,2393600,0
682,2017-01-11,-9270666,1755100,0
683,2017-01-12,-7876312,3564650,0
684,2017-01-13,-7476103,4662250,0
685,2017-01-14,0,4662250,1
686,2017-01-15,0,4662250,1
687,2017-01-16,-12621407,1986200,0
688,2017-01-17,-7945719,2399750,0
689,2017-01-18,-8797487,1650050,0
690,2017-01-19,-5657222,2931350,0
691,2017-01-20,-6485183,3739800,0
692,2017-01-21,0,3739800,1
693,2017-01-22,0,3739800,1
694,2017-01-23,-10868997,2187850,0
695,2017-01-24,-6368462,1174700,0
696,2017-01-25,-4726215,2472150,0
697,2017-01-26,-6271505,1856050,0
698,2017-01-27,-5370902,3292250,0
699,2017-01-28,0,3292250,1
700,2017-01-29,0,3292250,1
701,2017-01-30,-9830974,3715100,0
702,2017-01-31,-4461611,4913250,0
703,2017-02-01,-5199216,3082550,0
704,2017-02-02,-5058001,5680900,0
705,2017-02-03,-4477612,9184600,0
706,2017-02-04,0,9184600,1
707,2017-02-05,0,9184600,1
708,2017-02-06,-10467502,3569650,0
709,2017-02-07,-8054830,3148250,0
710,2017-02-08,-9944861,2809800,0
711,2017-02-09,-5586722,2896550,0
712,2017-02-10,-7153129,4087750,0
713,2017-02-11,0,4087750,1
714,2017-02-12,0,4087750,1
715,2017-02-13,-14451333,2488250,0
716,2017-02-14,-7487507,2384100,0
717,2017-02-15,-7222768,2385050,0
718,2017-02-16,-5299374,2668150,0
719,2017-02-17,-5324746,3795150,0
720,2017-02-18,0,3795150,1
721,2017-02-19,0,3795150,1
722,2017-02-20,-9150594,1879950,0
723,2017-02-21,-6790523,1915950,0
724,2017-02-22,-5957506,2561000,0
725,2017-02-23,-5110098,2253850,0
726,2017-02-24,-3989921,14803050,0
727,2017-02-25,0,14803050,1
728,2017-02-26,0,14803050,1
729,2017-02-27,0,14803050,1
730,2017-02-28,0,14803050,1
731,2017-03-01,-12915066,4075550,0
